id,trial,prob1,prob2,mag1,mag2,stimID,choice,happiness,gain_loss,group,context,CR,winLose,choseRisky,mag1_norm,mag2_norm,outcome
P_MoodFlexi_01_Behavior10_01s2v0,35,0.2,0.8,40.0,40.0,1.0,0.0,0.4166666666666667,0.0,s2v,stable,0,0,1.0,0.42857142857142855,0.42857142857142855,0.0
P_MoodFlexi_01_Behavior10_01s2v0,36,0.2,0.8,60.0,10.0,2.0,1.0,,10.0,s2v,stable,0,1,1.0,0.7142857142857143,0.0,0.0
P_MoodFlexi_01_Behavior10_01s2v0,37,0.2,0.8,20.0,40.0,2.0,1.0,,40.0,s2v,stable,0,1,1.0,0.14285714285714285,0.42857142857142855,0.42857142857142855
P_MoodFlexi_01_Behavior10_01s2v0,38,0.2,0.8,10.0,40.0,2.0,1.0,0.7135416666666666,40.0,s2v,stable,0,1,1.0,0.0,0.42857142857142855,0.42857142857142855
P_MoodFlexi_01_Behavior10_01s2v0,39,0.2,0.8,40.0,20.0,2.0,1.0,,20.0,s2v,stable,0,1,1.0,0.42857142857142855,0.14285714285714285,0.14285714285714285
P_MoodFlexi_01_Behavior10_01s2v0,40,0.8,0.2,10.0,80.0,1.0,1.0,,0.0,s2v,stable,0,0,1.0,0.0,1.0,0.0
P_MoodFlexi_01_Behavior10_01s2v0,41,0.8,0.2,60.0,10.0,1.0,1.0,,0.0,s2v,stable,0,0,1.0,0.7142857142857143,0.0,0.0
P_MoodFlexi_01_Behavior10_01s2v0,42,0.8,0.2,10.0,40.0,2.0,0.0,0.69140625,40.0,s2v,stable,0,1,1.0,0.0,0.42857142857142855,0.0
P_MoodFlexi_01_Behavior10_01s2v0,43,0.8,0.2,10.0,80.0,2.0,0.0,,0.0,s2v,stable,0,0,1.0,0.0,1.0,0.0
P_MoodFlexi_01_Behavior10_01s2v0,44,0.8,0.2,40.0,20.0,1.0,1.0,,40.0,s2v,stable,0,1,1.0,0.42857142857142855,0.14285714285714285,0.14285714285714285
P_MoodFlexi_01_Behavior10_01s2v0,45,0.8,0.2,40.0,10.0,1.0,1.0,,40.0,s2v,stable,0,1,1.0,0.42857142857142855,0.0,0.0
P_MoodFlexi_01_Behavior10_01s2v0,46,0.8,0.2,40.0,40.0,1.0,1.0,0.6809895833333334,40.0,s2v,stable,0,1,1.0,0.42857142857142855,0.42857142857142855,0.42857142857142855
P_MoodFlexi_01_Behavior10_01s2v0,47,0.8,0.2,80.0,10.0,1.0,1.0,,80.0,s2v,stable,0,1,1.0,1.0,0.0,0.0
P_MoodFlexi_01_Behavior10_01s2v0,48,0.8,0.2,10.0,10.0,1.0,1.0,,10.0,s2v,stable,0,1,1.0,0.0,0.0,0.0
P_MoodFlexi_01_Behavior10_01s2v0,49,0.8,0.2,10.0,60.0,1.0,1.0,,10.0,s2v,stable,0,1,1.0,0.0,0.7142857142857143,0.7142857142857143
P_MoodFlexi_01_Behavior10_01s2v0,50,0.2,0.8,40.0,20.0,1.0,0.0,0.6770833333333334,0.0,s2v,stable,0,0,1.0,0.42857142857142855,0.14285714285714285,0.0
P_MoodFlexi_01_Behavior10_01s2v0,51,0.2,0.8,40.0,20.0,2.0,1.0,,20.0,s2v,stable,0,1,1.0,0.42857142857142855,0.14285714285714285,0.14285714285714285
P_MoodFlexi_01_Behavior10_01s2v0,52,0.2,0.8,40.0,10.0,2.0,1.0,,0.0,s2v,stable,0,0,1.0,0.42857142857142855,0.0,0.0
P_MoodFlexi_01_Behavior10_01s2v0,53,0.2,0.8,10.0,60.0,1.0,0.0,0.1106770833333333,0.0,s2v,stable,0,0,1.0,0.0,0.7142857142857143,0.0
P_MoodFlexi_01_Behavior10_01s2v0,54,0.2,0.8,60.0,10.0,2.0,1.0,,10.0,s2v,stable,0,1,1.0,0.7142857142857143,0.0,0.0
P_MoodFlexi_01_Behavior10_01s2v0,55,0.2,0.8,20.0,40.0,2.0,1.0,,40.0,s2v,stable,0,1,1.0,0.14285714285714285,0.42857142857142855,0.42857142857142855
P_MoodFlexi_01_Behavior10_01s2v0,56,0.2,0.8,80.0,10.0,1.0,0.0,,0.0,s2v,stable,0,0,1.0,1.0,0.0,0.0
P_MoodFlexi_01_Behavior10_01s2v0,57,0.2,0.8,40.0,40.0,2.0,1.0,0.71875,40.0,s2v,stable,0,1,1.0,0.42857142857142855,0.42857142857142855,0.42857142857142855
P_MoodFlexi_01_Behavior10_01s2v0,58,0.2,0.8,10.0,10.0,2.0,1.0,,0.0,s2v,stable,0,0,1.0,0.0,0.0,0.0
P_MoodFlexi_01_Behavior10_01s2v0,59,0.8,0.2,40.0,10.0,1.0,1.0,,40.0,s2v,stable,0,1,1.0,0.42857142857142855,0.0,0.0
P_MoodFlexi_01_Behavior10_01s2v0,60,0.8,0.2,80.0,10.0,1.0,1.0,0.84765625,80.0,s2v,stable,0,1,1.0,1.0,0.0,0.0
P_MoodFlexi_01_Behavior10_01s2v0,61,0.8,0.2,10.0,10.0,1.0,1.0,,10.0,s2v,stable,0,1,1.0,0.0,0.0,0.0
P_MoodFlexi_01_Behavior10_01s2v0,62,0.8,0.2,20.0,40.0,2.0,0.0,,0.0,s2v,stable,0,0,1.0,0.14285714285714285,0.42857142857142855,0.0
P_MoodFlexi_01_Behavior10_01s2v0,63,0.8,0.2,80.0,10.0,1.0,1.0,,0.0,s2v,stable,0,0,1.0,1.0,0.0,0.0
P_MoodFlexi_01_Behavior10_01s2v0,64,0.8,0.2,10.0,80.0,1.0,1.0,0.375,10.0,s2v,stable,0,1,1.0,0.0,1.0,1.0
P_MoodFlexi_01_Behavior10_01s2v0,65,0.8,0.2,60.0,10.0,1.0,1.0,,60.0,s2v,stable,0,1,1.0,0.7142857142857143,0.0,0.0
P_MoodFlexi_01_Behavior10_01s2v0,66,0.8,0.2,40.0,10.0,1.0,1.0,,40.0,s2v,stable,0,1,1.0,0.42857142857142855,0.0,0.0
P_MoodFlexi_01_Behavior10_01s2v0,67,0.2,0.8,40.0,10.0,1.0,0.0,0.3020833333333333,0.0,s2v,stable,0,0,1.0,0.42857142857142855,0.0,0.0
P_MoodFlexi_01_Behavior10_01s2v0,68,0.2,0.8,40.0,40.0,2.0,1.0,,40.0,s2v,stable,0,1,1.0,0.42857142857142855,0.42857142857142855,0.42857142857142855
P_MoodFlexi_01_Behavior10_01s2v0,69,0.2,0.8,20.0,40.0,2.0,1.0,,0.0,s2v,stable,0,0,1.0,0.14285714285714285,0.42857142857142855,0.0
P_MoodFlexi_01_Behavior10_01s2v0,70,0.2,0.8,60.0,10.0,1.0,0.0,0.5885416666666666,0.0,s2v,stable,0,0,1.0,0.7142857142857143,0.0,0.0
P_MoodFlexi_01_Behavior10_01s2v0,71,0.2,0.8,40.0,20.0,2.0,1.0,,20.0,s2v,stable,0,1,1.0,0.42857142857142855,0.14285714285714285,0.14285714285714285
P_MoodFlexi_01_Behavior10_01s2v0,72,0.2,0.8,10.0,40.0,2.0,1.0,,0.0,s2v,stable,0,0,1.0,0.0,0.42857142857142855,0.0
P_MoodFlexi_01_Behavior10_01s2v0,73,0.8,0.2,40.0,40.0,1.0,1.0,0.3138020833333333,40.0,s2v,stable,0,1,1.0,0.42857142857142855,0.42857142857142855,0.42857142857142855
P_MoodFlexi_01_Behavior10_01s2v0,74,0.8,0.2,60.0,10.0,1.0,1.0,,60.0,s2v,stable,0,1,1.0,0.7142857142857143,0.0,0.0
P_MoodFlexi_01_Behavior10_01s2v0,75,0.8,0.2,10.0,80.0,2.0,0.0,,0.0,s2v,stable,0,0,1.0,0.0,1.0,0.0
P_MoodFlexi_01_Behavior10_01s2v0,76,0.8,0.2,80.0,10.0,1.0,1.0,0.6614583333333334,80.0,s2v,stable,0,1,1.0,1.0,0.0,0.0
P_MoodFlexi_01_Behavior10_01s2v0,77,0.8,0.2,10.0,40.0,2.0,0.0,,0.0,s2v,stable,0,0,1.0,0.0,0.42857142857142855,0.0
P_MoodFlexi_01_Behavior10_01s2v0,78,0.8,0.2,40.0,20.0,1.0,1.0,,40.0,s2v,stable,0,1,1.0,0.42857142857142855,0.14285714285714285,0.14285714285714285
P_MoodFlexi_01_Behavior10_01s2v0,79,0.8,0.2,10.0,10.0,1.0,1.0,,0.0,s2v,stable,0,0,1.0,0.0,0.0,0.0
P_MoodFlexi_01_Behavior10_01s2v0,80,0.8,0.2,10.0,60.0,2.0,0.0,0.3880208333333333,0.0,s2v,stable,0,0,1.0,0.0,0.7142857142857143,0.0
P_MoodFlexi_01_Behavior10_01s2v0,81,0.8,0.2,80.0,10.0,1.0,1.0,,0.0,s2v,volatile,0,0,1.0,1.0,0.0,0.0
P_MoodFlexi_01_Behavior10_01s2v0,82,0.8,0.2,10.0,10.0,2.0,0.0,,0.0,s2v,volatile,0,0,1.0,0.0,0.0,0.0
P_MoodFlexi_01_Behavior10_01s2v0,83,0.8,0.2,20.0,40.0,1.0,1.0,,20.0,s2v,volatile,0,1,1.0,0.14285714285714285,0.42857142857142855,0.42857142857142855
P_MoodFlexi_01_Behavior10_01s2v0,84,0.8,0.2,60.0,10.0,1.0,1.0,0.8919270833333334,60.0,s2v,volatile,0,1,1.0,0.7142857142857143,0.0,0.0
P_MoodFlexi_01_Behavior10_01s2v0,85,0.8,0.2,40.0,10.0,1.0,1.0,,40.0,s2v,volatile,0,1,1.0,0.42857142857142855,0.0,0.0
P_MoodFlexi_01_Behavior10_01s2v0,86,0.8,0.2,40.0,40.0,1.0,1.0,,40.0,s2v,volatile,0,1,1.0,0.42857142857142855,0.42857142857142855,0.42857142857142855
P_MoodFlexi_01_Behavior10_01s2v0,87,0.8,0.2,10.0,80.0,2.0,0.0,0.7799479166666666,0.0,s2v,volatile,0,0,1.0,0.0,1.0,0.0
